iter	Passed	Remaining
0	3	2451
1	6	2564
2	9	2424
3	11	2352
4	14	2312
5	17	2281
6	21	2391
7	24	2413
8	27	2406
9	30	2413
10	34	2463
11	37	2477
12	40	2469
13	43	2449
14	46	2432
15	49	2416
16	52	2419
17	55	2415
18	58	2397
19	61	2387
20	64	2385
21	66	2369
22	69	2353
23	72	2347
24	75	2337
25	78	2329
26	81	2325
27	84	2319
28	86	2308
29	89	2301
30	92	2300
31	95	2296
32	98	2287
33	101	2282
34	104	2281
35	107	2279
36	110	2278
37	113	2285
38	116	2275
39	119	2266
40	122	2263
41	125	2265
42	128	2261
43	131	2258
44	134	2255
45	137	2250
46	140	2243
47	142	2238
48	145	2233
49	148	2232
50	151	2227
51	155	2231
52	158	2228
53	161	2228
54	164	2223
55	166	2215
56	169	2211
57	172	2207
58	175	2203
59	178	2201
60	181	2195
61	184	2196
62	187	2192
63	190	2187
64	193	2185
65	196	2180
66	198	2174
67	201	2169
68	204	2168
69	207	2162
70	210	2158
71	213	2158
72	216	2155
73	219	2151
74	222	2148
75	225	2145
76	228	2143
77	231	2138
78	234	2137
79	236	2131
80	239	2126
81	242	2123
82	245	2122
83	248	2117
84	251	2112
85	254	2109
86	257	2106
87	259	2102
88	263	2101
89	265	2098
90	268	2093
91	271	2089
92	274	2089
93	277	2085
94	280	2080
95	283	2077
96	286	2075
97	289	2070
98	291	2067
99	295	2065
100	297	2061
101	300	2057
102	303	2056
103	306	2053
104	309	2048
105	312	2044
106	315	2043
107	318	2039
108	321	2036
109	324	2034
110	327	2031
111	330	2028
112	332	2024
113	336	2023
114	339	2020
115	341	2016
116	345	2014
117	347	2010
118	350	2006
119	353	2002
120	356	2000
121	359	1997
122	362	1993
123	365	1990
124	368	1987
125	370	1983
126	374	1983
127	377	1983
128	381	1982
129	384	1981
130	387	1978
131	390	1975
132	393	1971
133	396	1969
134	399	1966
135	401	1962
136	405	1960
137	408	1961
138	411	1957
139	414	1953
140	416	1948
141	419	1945
142	422	1941
143	425	1937
144	428	1936
145	431	1934
146	434	1930
147	437	1926
148	440	1924
149	443	1921
150	446	1917
151	449	1915
152	452	1912
153	455	1908
154	457	1905
155	460	1901
156	463	1898
157	466	1895
158	469	1893
159	473	1895
160	477	1893
161	480	1893
162	483	1890
163	486	1888
164	490	1888
165	494	1887
166	497	1884
167	500	1882
168	503	1881
169	507	1879
170	510	1877
171	513	1873
172	516	1870
173	519	1868
174	522	1867
175	525	1863
176	528	1860
177	531	1859
178	535	1856
179	538	1853
180	542	1854
181	545	1851
182	548	1850
183	551	1847
184	554	1844
185	558	1844
186	562	1844
187	565	1841
188	568	1837
189	571	1835
190	575	1834
191	578	1831
192	581	1828
193	584	1826
194	587	1821
195	591	1821
196	594	1819
197	597	1817
198	600	1814
199	604	1812
200	607	1810
201	610	1808
202	614	1806
203	617	1803
204	620	1802
205	624	1799
206	626	1796
207	630	1794
208	633	1792
209	636	1789
210	639	1785
211	642	1782
212	646	1780
213	649	1778
214	653	1776
215	655	1773
216	658	1769
217	662	1767
218	665	1766
219	668	1763
220	671	1760
221	674	1757
222	678	1754
223	680	1750
224	683	1747
225	686	1743
226	689	1739
227	692	1736
228	695	1734
229	698	1731
230	701	1728
231	704	1725
232	707	1721
233	710	1719
234	714	1717
235	716	1713
236	719	1709
237	722	1706
238	726	1705
239	729	1701
240	732	1699
241	736	1697
242	739	1694
243	743	1694
244	746	1691
245	749	1688
246	754	1689
247	757	1686
248	761	1684
249	764	1682
250	768	1679
251	771	1678
252	775	1677
253	779	1674
254	782	1672
255	785	1669
256	789	1667
257	792	1664
258	795	1661
259	798	1658
260	801	1655
261	805	1653
262	808	1650
263	811	1647
264	814	1644
265	817	1641
266	820	1638
267	824	1636
268	828	1635
269	831	1632
270	835	1631
271	839	1630
272	844	1630
273	848	1628
274	851	1626
275	855	1623
276	858	1620
277	861	1616
278	864	1613
279	867	1610
280	870	1607
281	872	1603
282	875	1599
283	878	1596
284	881	1592
285	885	1591
286	888	1587
287	891	1584
288	894	1580
289	897	1577
290	900	1575
291	904	1573
292	907	1570
293	910	1567
294	914	1565
295	918	1563
296	921	1560
297	924	1557
298	928	1555
299	931	1552
300	934	1549
301	937	1546
302	940	1543
303	943	1539
304	946	1536
305	949	1532
306	951	1528
307	955	1525
308	958	1522
309	961	1519
310	963	1515
311	966	1512
312	969	1508
313	972	1505
314	975	1501
315	978	1499
316	981	1496
317	985	1493
318	988	1490
319	991	1486
320	994	1484
321	998	1481
322	1000	1478
323	1003	1474
324	1006	1471
325	1009	1468
326	1012	1465
327	1015	1462
328	1018	1458
329	1021	1455
330	1024	1451
331	1028	1449
332	1031	1446
333	1033	1442
334	1037	1439
335	1040	1436
336	1043	1432
337	1046	1429
338	1049	1426
339	1051	1423
340	1055	1420
341	1058	1418
342	1061	1414
343	1064	1411
344	1067	1408
345	1070	1404
346	1073	1401
347	1076	1398
348	1079	1395
349	1082	1391
350	1085	1388
351	1088	1385
352	1091	1382
353	1094	1379
354	1098	1376
355	1101	1373
356	1106	1372
357	1110	1370
358	1113	1367
359	1117	1365
360	1121	1363
361	1124	1360
362	1128	1358
363	1131	1355
364	1135	1352
365	1139	1350
366	1142	1347
367	1145	1345
368	1150	1343
369	1153	1340
370	1156	1337
371	1159	1334
372	1162	1331
373	1166	1328
374	1169	1325
375	1173	1323
376	1177	1320
377	1181	1318
378	1186	1317
379	1189	1314
380	1193	1312
381	1197	1309
382	1200	1307
383	1204	1304
384	1207	1301
385	1211	1298
386	1214	1296
387	1218	1293
388	1221	1290
389	1224	1286
390	1227	1283
391	1231	1281
392	1235	1279
393	1238	1276
394	1242	1273
395	1245	1271
396	1249	1268
397	1252	1265
398	1256	1262
399	1260	1260
400	1264	1258
401	1268	1255
402	1271	1252
403	1274	1249
404	1278	1247
405	1282	1244
406	1285	1241
407	1288	1238
408	1292	1235
409	1296	1233
410	1299	1230
411	1303	1227
412	1307	1225
413	1311	1223
414	1317	1222
415	1322	1220
416	1326	1218
417	1329	1215
418	1332	1211
419	1337	1209
420	1341	1207
421	1344	1204
422	1348	1202
423	1352	1199
424	1355	1196
425	1359	1193
426	1364	1192
427	1368	1189
428	1372	1186
429	1375	1183
430	1380	1181
431	1384	1179
432	1387	1176
433	1391	1173
434	1395	1171
435	1398	1167
436	1402	1164
437	1406	1162
438	1409	1159
439	1414	1156
440	1417	1153
441	1421	1151
442	1424	1148
443	1428	1145
444	1431	1142
445	1435	1139
446	1438	1136
447	1442	1133
448	1445	1130
449	1448	1126
450	1452	1124
451	1456	1121
452	1460	1118
453	1463	1115
454	1466	1112
455	1470	1109
456	1473	1106
457	1476	1102
458	1479	1099
459	1484	1096
460	1486	1093
461	1490	1090
462	1494	1087
463	1497	1084
464	1500	1080
465	1503	1077
466	1506	1074
467	1509	1071
468	1513	1067
469	1516	1064
470	1518	1060
471	1522	1057
472	1525	1054
473	1528	1051
474	1531	1047
475	1534	1044
476	1538	1041
477	1542	1038
478	1545	1035
479	1548	1032
480	1551	1029
481	1555	1026
482	1558	1022
483	1562	1020
484	1565	1016
485	1568	1013
486	1572	1010
487	1574	1006
488	1577	1003
489	1580	1000
490	1584	996
491	1586	993
492	1589	989
493	1592	986
494	1595	983
495	1598	979
496	1601	976
497	1604	973
498	1607	969
499	1610	966
500	1613	962
501	1616	959
502	1619	956
503	1622	952
