mp_id,clean_formula,band_gap_dft,density,crystal_system,band_gap_exp,delta_eg
mp-1186,ZrS2,1.0418,3.6186651847757876,Trigonal,2.75,1.7082
mp-556434,AgBi(PS3)2,1.1837999999999997,4.147865934404807,Triclinic,1.7,0.5162000000000002
mp-569126,AgBi(PSe3)2,1.3072,4.996191655856113,Trigonal,1.4,0.0928
mp-2858,ZrO2,3.5322,5.777331392483834,Monoclinic,4.99,1.4578000000000002
mp-1228491,Al2S3,3.0435746359539815,2.289530185895207,Monoclinic,4.1,1.0564253640460182
mp-11674,Al2Se3,1.8040000000000003,3.8245867538452583,Monoclinic,3.1,1.2959999999999998
mp-1197947,La2HfS5,1.1093801740831637,5.853389358954656,Orthorhombic,0.7,-0.40938017408316374
mp-683902,Rb3Nb2AsSe11,1.1708,4.239804290349898,Monoclinic,1.5,0.32919999999999994
mp-1104938,Rb3Na(MoO4)2,4.5822,3.62610322809313,Trigonal,4.84,0.2577999999999996
mp-9631,AlAgO2,1.4164000000000003,6.306938406220664,Hexagonal,3.6,2.1835999999999998
mp-5782,AlAgS2,1.8992,3.9002065302115434,Tetragonal,3.13,1.2308
mp-14091,AlAgSe2,1.1351999999999998,4.941582483786729,Tetragonal,2.55,1.4148
mp-14092,AlAgTe2,1.0469000000000004,5.2859771468178245,Tetragonal,1.8,0.7530999999999997
mp-2172,AlAs,1.5007000000000001,3.7018177310136027,Cubic,0.0,-1.5007000000000001
mp-4763,ZnSiP2,1.3641000000000005,3.4185655792320757,Tetragonal,2.07,0.7058999999999993
mp-4979,AlCuS2,1.7035,3.5077372830410285,Tetragonal,3.5,1.7965
mp-8017,AlCuTe2,1.0469999999999997,5.249753016095111,Tetragonal,2.06,1.0130000000000003
mp-2903153,La2Mn(SeO)2,1.2042000000000002,5.939284965222913,Orthorhombic,1.6,0.39579999999999993
mp-1968,La2O3,3.8281,6.615226595150559,Trigonal,5.4,1.5719000000000003
mp-1194576,Rb3Sb2Br9,2.3800000000000003,3.9480290816114785,Monoclinic,2.48,0.09999999999999964
mp-1209693,Rb3Sb2I9,1.9451,4.074595553508211,Monoclinic,1.94,-0.0051000000000001044
mp-1195227,NaY(Te2O5)2,3.071088285050643,4.585829389635484,Tetragonal,3.9,0.8289117149493568
mp-1189914,ZnSi(AgS2)2,1.6859000000000006,4.364531125681685,Monoclinic,3.28,1.5940999999999992
mp-1209358,Rb3Ta2AsS11,1.8938,3.654783182751849,Monoclinic,2.21,0.31620000000000004
mp-3677,MgSiN2,3.9662000000000006,3.1469685511783623,Orthorhombic,4.05,0.08379999999999921
mp-13033,MgTe,2.3186,3.7357481431534936,Cubic,3.6,1.2814
mp-1220029,PH6NO4,5.3544,1.74131701635013,Orthorhombic,6.8,1.4455999999999998
mp-7475,La2S3,1.0358,4.927142524222895,Orthorhombic,2.77,1.7342
mp-1582,As2O3,3.9605,4.117486470121782,Monoclinic,4.0,0.03949999999999987
mp-23317,AsBr3,3.136,3.7269354062037277,Orthorhombic,2.6,-0.536
mp-1214793,AsOsS,1.1797837602870054,10.016300181717284,Monoclinic,1.3,0.12021623971299467
mp-1196917,B2Mo(PbO2)6,2.4454692184117044,7.441138611831403,Orthorhombic,2.9,0.4545307815882955
mp-542810,AsS,1.9611000000000003,3.260272142216178,Monoclinic,2.4,0.4388999999999996
mp-558521,B2Se2O7,3.9417999999999997,3.5788197605861347,Orthorhombic,4.64,0.6981999999999999
mp-1200969,B3Pb3NO10,3.4029,5.969686717627841,Orthorhombic,3.64,0.2371000000000003
mp-1238815,B4C,3.2421999999999995,2.541908948957029,Monoclinic,1.64,-1.6021999999999996
mp-510607,SrCrO4,2.8575999999999997,3.9265455693405342,Monoclinic,2.45,-0.4075999999999995
mp-624,B6As,2.6463,3.5899691180422915,Trigonal,1.51,-1.1363
mp-28395,B6P,2.4817,2.6073925550156387,Trigonal,3.3,0.8182999999999998
mp-1105235,BH(PbO2)2,3.0854,6.186756885214777,Monoclinic,3.76,0.6745999999999999
mp-1479,BP,1.2435999999999998,2.981368786747575,Cubic,4.2,2.9564000000000004
mp-1228703,BSbPbS4,2.1522,4.409238880361941,Monoclinic,1.8,-0.35220000000000007
mp-1198687,La2ZrS5,1.10825503693869,4.963733416965493,Orthorhombic,2.01,0.9017449630613097
mp-849286,Ba(GaS2)2,2.9073,3.8730105517373885,Cubic,4.13,1.2226999999999997
mp-7841,Ba(GaSe2)2,1.8607,4.745645854751821,Orthorhombic,3.16,1.2993000000000001
mp-510011,La3CuGeSe7,1.1936,5.866857835187234,Hexagonal,2.0,0.8064
mp-21943,Ba(InS2)2,2.743,4.096007209038664,Orthorhombic,3.06,0.31700000000000017
mp-21766,Ba(InSe2)2,1.687,4.901912843440495,Orthorhombic,2.63,0.9429999999999998
mp-556070,Na5Gd(MoO4)4,3.3896,4.112311997907252,Tetragonal,3.38,-0.009600000000000275
mp-770618,MgMnO3,1.9300000000000002,4.38998928886301,Trigonal,0.0,-1.9300000000000002
mp-1020643,Rb3Zn(BO2)5,4.1752,3.065201914572702,Monoclinic,2.66,-1.5152
mp-23127,Ba2BiSbO6,1.6958000000000002,7.168280686963211,Monoclinic,0.0,-1.6958000000000002
mp-1190588,Ba2Cd(BO2)6,4.3316,3.977258363897014,Trigonal,4.59,0.25839999999999996
mp-7280,PPdS,1.0122,5.015562783925623,Orthorhombic,1.38,0.3677999999999999
mp-28885,PSe,2.2420999999999998,3.1692659051955547,Monoclinic,2.5,0.25790000000000024
mp-1195251,Rb4Ge(PSe3)4,1.3706,3.613789185189298,Orthorhombic,2.0,0.6294
mp-1020896,Rb4Ge3B6O17,3.8554,3.478982398101277,Monoclinic,5.42,1.5646
mp-1195309,Ba2GaAsSe5,1.8702999999999999,4.920215185519793,Orthorhombic,1.39,-0.48029999999999995
mp-1201906,Ba2GaBiS5,2.391,4.681831127322983,Orthorhombic,2.38,-0.01100000000000012
mp-1203584,Ba2GaBiSe5,1.7507207527433715,5.585604251323029,Orthorhombic,2.21,0.4592792472566285
mp-1199702,Ba2GaS4,2.5322,4.016998941783152,Monoclinic,2.55,0.017799999999999816
mp-1203387,Ba2GaSbSe5,1.8066999999999998,5.090691310238383,Orthorhombic,2.51,0.7033
mp-1196663,La4InSbS9,2.2196,4.693793151892433,Tetragonal,2.07,-0.14959999999999996
mp-22841,Ba2In2S5,1.9866000000000001,4.32390258634603,Orthorhombic,2.47,0.48340000000000005
mp-864638,Ba2InBiS5,1.4528999999999996,4.952784000796765,Orthorhombic,1.55,0.09710000000000041
mp-27161,ZnI2,2.9076000000000004,4.37827102350162,Tetragonal,4.53,1.6223999999999998
mp-1199088,Rb4Mo5(PO11)2,3.3712019357048204,3.6281350511719497,Orthorhombic,3.51,0.13879806429517938
mp-1195582,La8Sb2S15,2.0120000000000005,4.754928973218339,Tetragonal,2.3,0.28799999999999937
mp-1205823,Ba2ScTaO6,3.0173000000000005,6.892776037425662,Cubic,4.19,1.1726999999999999
mp-1205334,MgCu2SiS4,1.6776999999999997,3.3713347890368497,Orthorhombic,3.2,1.5223000000000004
mp-1189376,Ba2SmGaSe5,1.7080000000000002,5.303750488039248,Triclinic,2.27,0.5619999999999998
mp-1214622,Ba2SmTaO6,3.3635149345965862,7.210988170006595,Cubic,3.02,-0.3435149345965862
mp-1192595,Ba2SnSe4,1.7547000000000001,5.0443814952707084,Monoclinic,1.9,0.14529999999999976
mp-1079630,Ba2TaInO6,3.9458999999999995,7.468428673623505,Cubic,4.17,0.2241000000000004
mp-31307,Ba2SnSe5,1.0872000000000002,5.132330101670373,Orthorhombic,1.8,0.7127999999999999
mp-1223262,La6Sb4(SO4)3,1.9578999999999995,5.7901639535123035,Tetragonal,2.6,0.6421000000000006
mp-542067,Rb4Ti3S14,1.2236000000000002,2.862230243414579,Monoclinic,1.59,0.36639999999999984
mp-556407,Ba3Bi2TeO9,2.0740000000000003,7.14956004424156,Trigonal,2.3,0.22599999999999953
mp-560798,Ba3Dy2(PS4)4,2.3736000000000006,3.5275331485665777,Orthorhombic,3.28,0.9063999999999992
mp-560026,Mg5B3O9F,5.118399999999999,3.0122144650608855,Orthorhombic,5.63,0.5116000000000005
mp-684036,Ba3Gd2(PS4)4,1.4528000000000003,3.4948914805208093,Orthorhombic,3.41,1.9571999999999998
mp-560534,Ba3Er2(PS4)4,2.3777000000000004,3.5770750842146897,Orthorhombic,3.3,0.9222999999999995
mp-1200796,Ba3In2(PO4)4,3.7254,4.530775535651499,Monoclinic,3.87,0.14460000000000006
mp-1192446,Pb2SeN2O9,3.245,5.351782843067853,Orthorhombic,3.76,0.5149999999999997
mp-22633,Pb3O4,1.1360000000000006,8.662164599623404,Tetragonal,2.12,0.9839999999999995
mp-1200759,Ba3GeS5,2.0633016194329183,4.201872301389306,Orthorhombic,3.0,0.9366983805670817
mp-559171,Ba3Ho2(PS4)4,2.3798999999999997,3.5513011395214007,Orthorhombic,3.3,0.9201000000000001
mp-6325,Ba3MgTa2O9,3.2733,7.370083540737021,Trigonal,4.28,1.0067000000000004
mp-1195624,Ba3Sb2S7,1.9628999999999999,4.009674201878526,Monoclinic,2.4,0.43710000000000004
mp-2514,Mg3P2,1.6067999999999998,2.068073441497974,Cubic,1.4,-0.20679999999999987
mp-1196139,Mg3Sb2,1.3223442946623587,3.569834472358788,Cubic,0.8,-0.5223442946623587
mp-1195068,Ba3Ta2Se9,1.2458,5.9337947274749725,Monoclinic,1.6,0.35420000000000007
mp-1214475,Ba3Ta2ZnO9,3.3501410515625754,7.661767602376175,Trigonal,4.32,0.9698589484374249
mp-554264,Ba3Tb2(PS4)4,2.3711,3.4966279492068644,Orthorhombic,3.37,0.9988999999999999
mp-1206514,Mg3AsN,2.0841,3.611166357323842,Cubic,1.33,-0.7540999999999998
mp-1559,Mg3N2,1.5099999999999998,2.73722024769082,Cubic,2.8,1.29
mp-17360,Ni2Te3O8,3.0199000000000007,5.745923742512507,Monoclinic,3.84,0.8200999999999992
mp-6088,LaCuSO,1.668499999999999,6.124617215266214,Tetragonal,3.1,1.431500000000001
mp-1196224,Ba6Sn6Se13,1.1071000000000004,5.206075351896525,Orthorhombic,1.52,0.4128999999999996
mp-1195594,Ba8Sn4S15,2.0442,4.197042020571443,Orthorhombic,2.31,0.26580000000000004
mp-1190401,BaAgSbS3,1.4228999999999998,4.632952653347273,Monoclinic,2.2,0.7771000000000003
mp-1019529,Ba8Al10B12O41,4.4373,3.7184683289781706,Triclinic,3.1,-1.3372999999999995
mp-1192564,Mg2GeSe4,1.9226999999999999,4.32004641087479,Orthorhombic,2.02,0.09730000000000016
mp-866301,BaBSbS4,2.3440999999999996,3.6098170260375704,Orthorhombic,2.34,-0.0040999999999997705
mp-22342,PbSeO4,3.1922999999999995,6.415916476899281,Monoclinic,4.3,1.1077000000000004
mp-1192126,Zn2TeMoO7,3.4519,4.742398334946295,Monoclinic,4.1,0.6480999999999995
mp-1019542,BaCaB2O5,4.4673,3.617093123943857,Monoclinic,5.6,1.1326999999999998
mp-4816,LaGaS3,2.2220000000000004,4.340496073127684,Monoclinic,2.5,0.2779999999999996
mp-1191333,Zn2MoSeO7,3.709,4.32910664859534,Monoclinic,4.2,0.4910000000000001
mp-1227983,BaGa2GeS6,2.766399008804845,3.723094559484788,Triclinic,3.23,0.46360099119515485
mp-1227993,BaGa2SiS6,3.0909282178258586,3.5465344945582595,Triclinic,3.75,0.6590717821741414
mp-4309,BaGa4S7,2.5869999999999997,3.824823529978818,Orthorhombic,3.54,0.9530000000000003
mp-559703,BaLa2Te5O14,3.2332,5.601331856841529,Monoclinic,3.81,0.5768
mp-15776,Zn(GaSe2)2,1.4000999999999997,5.104347985161469,Tetragonal,1.72,0.3199000000000003
mp-1205018,BaIn2(P2O7)2,4.0047999999999995,4.050559716925715,Monoclinic,3.97,-0.034799999999999276
mp-1200569,Rb3Cd(BO2)5,3.7312000000000003,3.241111397915916,Monoclinic,2.34,-1.3912000000000004
mp-1103730,Na4Mg(GeSe3)2,1.8221916545677967,3.773932722544048,Monoclinic,2.53,0.7078083454322031
mp-1103351,Na4Mg(SiSe3)2,2.763295747780871,3.517376325635453,Monoclinic,2.85,0.08670425221912925
mp-1779,YbTe,1.4678,9.089476739533618,Cubic,1.8,0.33220000000000005
mp-1019554,BaNaB5O9,5.0076,3.068945465837579,Monoclinic,4.78,-0.2275999999999998
mp-1342,BaO,2.0906000000000002,5.859229678931834,Cubic,4.8,2.7093999999999996
mp-581967,Nb2O5,1.6713,4.300420668220531,Monoclinic,3.08,1.4087
mp-1106270,BaPd(IO3)4,1.9077000000000002,4.870003431742831,Triclinic,1.97,0.0622999999999998
mp-28911,BaReH9,3.8357,4.820811227759652,Hexagonal,3.44,-0.39570000000000016
mp-1500,BaS,2.1513,4.190346377672401,Cubic,3.88,1.7287
mp-1000,BaTe,1.5920999999999998,4.937715832687877,Cubic,3.4,1.8079
mp-1427,Lu2O3,4.021100000000001,9.784622907831332,Cubic,5.5,1.4788999999999994
mp-1202389,LaVI5O16,2.3631,4.8667467758309355,Monoclinic,3.58,1.2168999999999999
mp-32688,Nd2Se3,1.4284999999999997,6.517396425272431,Tetragonal,1.7,0.2715000000000003
mp-548469,BaZnSO,2.2367,5.165024825144456,Orthorhombic,3.9,1.6633
mp-561232,NaSm(PS3)2,2.7929999999999997,3.1333939109434095,Monoclinic,2.54,-0.25299999999999967
mp-18337,Be3N2,3.3145000000000007,2.724295339672568,Cubic,3.8,0.48549999999999915
mp-1197285,RbCd(BO2)3,3.8097000000000003,3.4041118680171603,Monoclinic,4.2,0.39029999999999987
mp-422,BeS,3.1433,2.361792333291721,Cubic,4.17,1.0267
mp-1541,BeSe,2.6701,4.233530580003136,Cubic,4.0,1.3298999999999999
mp-252,BeTe,2.0172,4.996636960395607,Cubic,2.89,0.8728000000000002
mp-556210,Bi2CO5,2.2747,7.860438044081122,Orthorhombic,3.42,1.1452999999999998
mp-1204764,Bi2I4O13,3.5313000000000003,6.3343662141896315,Orthorhombic,3.3,-0.2313000000000005
mp-23388,Bi2(MoO4)3,2.6389000000000005,6.291529082305378,Monoclinic,2.9,0.26109999999999944
mp-11718,RbF,5.5282,3.883571769603445,Cubic,10.4,4.8718
mp-726170,RbF3,2.114,3.0626301104570843,Monoclinic,0.0,-2.114
mp-1200193,Bi2Mo2Se2O13,2.810501458422717,5.82420548977169,Triclinic,3.15,0.3394985415772829
mp-1190898,Bi7O5F11,3.9069,8.618384202407865,Monoclinic,4.05,0.1431
mp-556601,BiBPbO4,2.8236999999999997,7.579587005975427,Monoclinic,3.2,0.3763000000000005
mp-2913080,BiBr3,2.8826,4.309906655222792,Monoclinic,2.66,-0.2225999999999999
mp-1209628,RbGaSnSe4,1.3776000000000002,4.139294051168981,Monoclinic,1.88,0.5023999999999997
mp-1189598,Y3GaS6,2.0555000000000003,3.8354772025598836,Orthorhombic,2.88,0.8244999999999996
mp-40674,Sr5V3O12F,3.9987000000000004,3.9772542910496846,Hexagonal,4.5,0.5012999999999996
mp-1227709,BiP3(PbO4)3,3.6994,6.278180778498214,Monoclinic,3.7,0.000600000000000378
mp-2980,Pr2Te4O11,3.3043,6.071020024510636,Monoclinic,3.65,0.3456999999999999
mp-560158,Na3Zn(BO2)5,4.2757,2.7379064506719257,Monoclinic,3.2,-1.0756999999999994
mp-1190564,BiPO4,3.7758000000000003,6.867906501334936,Monoclinic,3.85,0.07419999999999982
mp-23324,BiSBr,2.0038,6.212864267867591,Orthorhombic,1.88,-0.12380000000000013
mp-23318,BiSCl,1.9636000000000005,5.648961785149679,Orthorhombic,1.89,-0.07360000000000055
mp-680422,CBr4,2.9089,3.0540428858146758,Monoclinic,3.7,0.7911000000000001
mp-1195032,BiTeNO6,2.8005453012566557,5.934153892707038,Monoclinic,3.62,0.8194546987433444
mp-558751,Ca(BiO2)2,2.5433999999999997,7.0393159666588865,Monoclinic,3.08,0.5366000000000004
mp-32689,Pr2Se3,1.4255999999999998,6.297756116894828,Tetragonal,1.8,0.3744000000000003
mp-1019569,Ca10Ge16(B2O17)3,3.0963000000000003,4.158731170808224,Orthorhombic,5.47,2.3736999999999995
mp-1232659,MnO,1.1560999999999995,5.484829166278692,Orthorhombic,3.6,2.4439000000000006
mp-1199265,Nb2Pb2Se4O15,2.6621050242094615,5.029642019983755,Monoclinic,2.79,0.12789497579053855
mp-1192404,RbH2(IO3)3,3.5113000000000003,4.271443643627188,Triclinic,4.07,0.5587
mp-24022,RbH3(SeO3)2,4.1504,3.1638720419241286,Orthorhombic,4.84,0.6895999999999995
mp-2652,Y2O3,4.097300000000001,5.026122839880902,Cubic,5.6,1.502699999999999
mp-541289,Y2S3,1.5992000000000002,3.80506725111893,Monoclinic,2.9,1.3007999999999997
mp-1194561,NaSc(SeO3)2,3.8413000000000004,3.5513706114256802,Orthorhombic,5.5,1.6586999999999996
