formula,mp_id,crystal_system,material_class,density,band_gap_calibrated,theoretical_efficiency_pct,ed_est_ev,radiation_resistance_score,penetration_depth_um_Ni63,carriers_per_electron_Ni63,t_max_ev_Ni63,is_immune_Ni63,penetration_depth_um_H3,carriers_per_electron_H3,t_max_ev_H3,is_immune_H3,penetration_depth_um_C14,carriers_per_electron_C14,t_max_ev_C14,is_immune_C14,penetration_depth_um_Pm147,carriers_per_electron_Pm147,t_max_ev_Pm147,is_immune_Pm147
Na3Sr14Nd3Ti20O60,mp-695175,Orthorhombic,Сложные оксиды,5.00715850437567,2.567170315374957,18.977017031241513,29.302499796341014,72.9171845825437,1.184213032784107,2263.244796414858,4.735477770915855,1,0.1679769337184847,741.4077781359017,1.258190529179437,1,7.379513813293317,6438.541231180199,11.989295991551327,1,10.943446233140735,8064.435481478229,18.143282300064506,1
Dy3GaS6,mp-1189242,Orthorhombic,"Халькогениды (II-VI, дихалькогениды)",5.474547213069172,2.5665563573825416,18.977015725061865,26.135401114663576,65.0360849914487,1.083111009425963,2263.7509794926227,4.442404658529694,1,0.1536359263099539,741.5735967303419,1.1803226070394304,1,6.749488845429834,6439.981234763495,11.247292658087614,1,10.009151029447185,8066.239122330035,17.020416040351865,1
Ba(NbN2)2,mp-1029502,Cubic,"Ковалентные (IV, III-V, карбиды, бориды, нитриды)",5.298203158439461,2.5697204814043433,18.977009298964347,29.950190658670675,74.52891718178141,1.1191610024716265,2261.1447101849153,2.422606248811788,1,0.1587495056447012,740.7198188536793,0.6436732227752392,1,6.9741371260049565,6432.5668479398455,6.13356134123905,1,10.342293082167894,8056.952415601423,9.281857333181344,1
CoBi6(SO8)2,mp-1190466,Monoclinic,Сложные оксиды,7.173538304372095,2.570369732900675,18.97700394408314,24.840034480021217,61.81265734340621,0.8265854459135646,2260.6106676207874,1.6991049790867305,1,0.1172485733706666,740.5448738757751,0.4514428947166388,1,5.150930235622915,6431.047588921205,4.3017987836630915,1,7.63856935705661,8055.049505315448,6.5098692854921065,1
Sr4PtO6,mp-4598,Trigonal,Оксидные полупроводники (простые и тройные),6.482816921620801,2.5730135369358815,18.976967951445516,27.089049534666408,67.40917119062959,0.9146552231518164,2258.4386061798336,2.6817768657478895,1,0.12974099722026003,739.8333365071868,0.7125334374030715,1,5.6997437680457,6424.868448615043,6.789730240994847,1,8.452432104121307,8047.309976043085,10.27483119863445,1
Gd2SeO2,mp-13973,Trigonal,Оксидные полупроводники (простые и тройные),7.825644613509049,2.5755485679890633,18.97691205475635,28.31869661131782,70.46906039744643,0.7577065725501448,2256.359825296822,4.574501220735827,1,0.10747831951830894,739.152356562752,1.2154199407289037,1,4.7217062840553226,6418.954675413373,11.58173510727039,1,7.002051917724127,8039.902825770285,17.526524470148242,1
YCrO3,mp-18725,Orthorhombic,Оксидные полупроводники (простые и тройные),5.719311192527547,2.5577771867422094,18.97686246623432,29.83002423713598,74.2298915969143,1.0367581267206742,2271.0138903750167,4.140030279115058,1,0.14706091413706682,743.9528261573331,1.0999833891504556,1,6.460637322317095,6460.642963997892,10.481740350498049,1,9.58079881105973,8092.118459956956,15.861913352466676,1
KNb4AsO13,mp-1223401,Orthorhombic,Сложные оксиды,4.030703971935863,2.5556325498622408,18.976786762008462,30.784618315515196,76.60533099963966,1.4710934862451852,2272.795213269225,4.284382910855065,1,0.2086700333399831,744.5363629675047,1.138337093444643,1,9.167231234459239,6465.710520507278,10.847212751133062,1,13.594540868038827,8098.46570245356,16.41497909896889,1
Sr3TbRhO6,mp-18705,Trigonal,Сложные оксиды,6.548687708578253,2.553000617042711,18.976673303121704,28.342814411888998,70.52907582712635,0.9054550502278834,2274.985104003931,3.49863893112961,1,0.1284359813196929,745.2537409668051,0.9295692179575775,1,5.6424121889317345,6471.94038208015,8.857863924628903,1,8.367412268212261,8106.2687613933185,13.40451731889428,1
NaDy3Ti2(SbO7)2,mp-40478,Monoclinic,Сложные оксиды,6.48884069539276,2.5824220579743677,18.97665524415773,28.841695537682718,71.77050599134704,0.9138061229192402,2250.7426202081474,4.9488068829447736,1,0.1296205549944618,737.3122376543931,1.3148709068176863,1,5.694452535200174,6402.97469541973,12.529403239744545,1,8.444585473080693,8019.8874972934,18.960621223316213,1
